ku_hackfest_part_1_0	यो पुस्तक पढेपछि
ku_hackfest_part_2_100	आफ्नो अवचेतन मनको शक्तिले तपाईं
ku_hackfest_part_2_101	आफुले बर्षौदेखि खोजिरहेको गतिलो साथी
ku_hackfest_part_2_102	उहाँ
ku_hackfest_part_2_103	व्यवसायिक साझेदार बिताउन सक्नुहुन्छ यसले तपाईंलाई आफ्नो घरको
ku_hackfest_part_2_105	जसले
ku_hackfest_part_2_106	तपाईंले अपेक्षा गरेको मूल्य दिन सक्छ
ku_hackfest_part_2_107	तपाईलाई आर्थिक स्वतन्त्रता दिन्छ ताकी तपाईं आफूले चाहेको काम गर्न सक्नुहोस्
ku_hackfest_part_2_113	भाव
ku_hackfest_part_2_114	शक्ति प्रेम र सौन्दर्यले आविस्कार गर्नु तपाईंको अधिकार पनि
ku_hackfest_part_2_115	यो अदृश्य तर भयंकर हुन्छ
ku_hackfest_part_2_116	ऋषि भित्र तपाईले छ र समस्याका जड र प्रत्येक कामका कारण पत्ता लगाउन सक्नुहुन्छ
ku_hackfest_part_2_117	यही अदृश्य शक्ति प्राप्त गर्न सक्ने भएकोले नि
ku_hackfest_part_2_118	अहिले अघिबढ्ने शक्ति
ku_hackfest_part_2_119	ज्ञान प्राप्त गर्न सक्नुहुन्छ
ku_hackfest_part_2_120	मैले अवचेतन मनका शक्ति प्रयोगले मानिसहरु
ku_hackfest_part_2_121	दुःख अवस्थाबाट मुक्त भएका
ku_hackfest_part_2_122	प्रशस्त भएको देखेको छु
ku_hackfest_part_2_123	अवचेतन मनको शक्ती
ku_hackfest_part_2_124	असाध्यै प्रभावशाली छ
ku_hackfest_part_2_125	यसले तपाईंलाई आफ्नो चिन्तित
ku_hackfest_part_2_130	तपाईंको ह्दयको बेथितिलाई पनि ठीक पारिदिन्छ
ku_hackfest_part_2_131	यसले उनमा रहेको कारागारको ढोका खोलेर तपाईंलाई
ku_hackfest_part_2_132	स्वतन्त्रता दिन्छ
ku_hackfest_part_2_133	यस्तो तपाईले हरेक किसिमको भौतिक र शारीरिक बन्धनबाट
ku_hackfest_part_2_134	मुक्ति दिन्छ
ku_hackfest_part_2_136	स्वीकार्य पद्धतिको आवश्यकता कुन क्षेत्रमा सफलता प्राप्त गर्न चाहनुहुन्छ भने
ku_hackfest_part_2_137	त्यसको लागि कार्ययोजना बनाउने
ku_hackfest_part_2_138	पहिलो कदमको
ku_hackfest_part_2_139	त्यसपछि तपाईले त्यो कार्यहरुमा पूरा गर्ने
ku_hackfest_part_2_140	फोटोसहित तरिका पत्ता लगाउनुपर्छ
ku_hackfest_part_2_141	यथोचित कार्यपद्धति प्रभावमा
ku_hackfest_part_2_142	कुनै पनि योजना
ku_hackfest_part_2_143	परियोजनाले सार्थक रुप लिन सक्दैन
ku_hackfest_part_2_144	जसरी घर बनाउने योजना बनाइसकेपछि
ku_hackfest_part_2_145	खर्च कसरी जुताउने
ku_hackfest_part_2_146	कुन इन्जिनियरको सहयोग लिएर नक्सा बनाउने
ku_hackfest_part_2_147	कती वटा झ्यालढोका राख्ने
ku_hackfest_part_2_148	कुन मिश्री प्रयोग गर्ने
ku_hackfest_part_2_149	निर्माण सामग्री कसरी जुटाउने लगायतका
ku_hackfest_part_2_150	कार्यहरू बनाइन्छ
ku_hackfest_part_2_151	लक्ष्य प्राप्तीको लागि
ku_hackfest_part_2_152	अवचेतन मनको परिचालनको कुरा पनि
ku_hackfest_part_2_153	त्यस्तै हो
ku_hackfest_part_2_154	मलाई विश्वास छ
ku_hackfest_part_2_155	यसको परिचालनमा तपाईं सिद्धहस्त हुन सक्नुहुन्छ
ku_hackfest_part_2_156	तपाईं दोमन नभइकन
ku_hackfest_part_2_157	ढुक्कको साथ
ku_hackfest_part_2_158	यसको अभ्यास गर्न सक्नुहुन्छ
ku_hackfest_part_2_159	तपाईं आफ्नो खास उद्देश्य लक्ष्यमा
ku_hackfest_part_2_160	निर्देशित भएर यसलाई प्रयोग पनि गर्न सक्नुहुन्छ
ku_hackfest_part_2_161	म एउटा रसायनशास्त्र हुनुको नाताले पनि
ku_hackfest_part_2_162	सानु उदाहरणबाट आफ्नो कुरा प्रष्ट पार्न छाम्छु
ku_hackfest_part_2_164	त्यस्को परिनाम हुन्छ
ku_hackfest_part_2_165	पानी
ku_hackfest_part_2_168	जुन
ku_hackfest_part_2_169	विषाक्त हुन्छ
ku_hackfest_part_2_170	तर ती मिश्रणमा तपाईले अक्सिजनको अनु मिसाउनु भने
ku_hackfest_part_2_172	जुन
ku_hackfest_part_2_173	विषाक्त हुँदैन
ku_hackfest_part_2_174	तपाईंले थाहा पाई राख्नु पर्ने कुरा
ku_hackfest_part_2_175	मस्तिष्कको सिद्धान्त रसायनशास्त्र
ku_hackfest_part_2_176	भौतिकशास्त्र गणितको सिद्धान्त भन्दा भिन्न हुन्छ
ku_hackfest_part_2_177	तपाईको घर छैन भौतिक शक्ति प्रयोग गर्न चाहनुहुन्छ भने
ku_hackfest_part_2_178	भन्दा पहिला त्यस्को न्यूनतम सिद्धान्तको बारेमा
ku_hackfest_part_2_179	थाहा पाउनुपर्ने हुन्छ
ku_hackfest_part_2_180	त्यसै गरी अवचेतन मनको प्रयोगको लागि पनि
ku_hackfest_part_2_181	यस आधारभूत सिद्धान्तको ज्ञान
ku_hackfest_part_2_182	अनिवार्य हुन्छ
ku_hackfest_part_2_183	जस्तो
ku_hackfest_part_2_184	पानीले आफ्नो सतह
ku_hackfest_part_2_185	आफ्नो निर्धारण गर्छ
ku_hackfest_part_2_186	यो एउटा विश्वव्यापी सिद्धान्त हो
ku_hackfest_part_2_187	जुन संसारको जहाँ सुकेको पानीमा
ku_hackfest_part_2_188	लागू हुन्छ
ku_hackfest_part_2_189	यो कुरा दुनियाँका
ku_hackfest_part_2_190	सबैलाई थाहा छ
ku_hackfest_part_2_191	प्रचिन बिश्वका मानिसहरुलाई पनि यो कुराको ज्ञान थियो
ku_hackfest_part_2_192	उनिहरुले विश्वप्रसिद्ध पिरामिदको आधारलाई
ku_hackfest_part_2_193	आदर्श रूप मा समर्थन बनाउने काममा समेत
ku_hackfest_part_2_194	यो सिद्धान्तको प्रयोग गरेका छन्
ku_hackfest_part_2_195	यो कुरा हरेक ठाउँमा पानीजस्तो तरलपदार्थ हमलाको
ku_hackfest_part_2_196	त्यसै गरी गरी कुनैपनि वस्तुलाई तताइयो भने
ku_hackfest_part_2_197	फैलिन्छ भन्ने
ku_hackfest_part_2_198	अर्को सिद्धान्त पनि छ
ku_hackfest_part_2_199	यो जहाँ सुकै जुन सुकै  समयमा
ku_hackfest_part_2_200	जुनसुकै परिस्थितिमा लाग्छ
ku_hackfest_part_2_201	अहिले कुनै यस्ताको पातलाई बताउनुभयो भने
ku_hackfest_part_2_202	फैलिन्छ
ku_hackfest_part_2_203	साहित्यले स्थापित
ku_hackfest_part_2_204	चीनको भारतको भाग
ku_hackfest_part_2_205	बेलायतको होस
ku_hackfest_part_2_206	वस्तुलाई ताव दियो भने फैलन्छ भन्ने
ku_hackfest_part_2_207	ध्रुवसत्य
ku_hackfest_part_2_208	त्यस्तै तपाईंको अवचेतन मन
ku_hackfest_part_2_209	जुन कुराले प्रभावित भएको छ
ku_hackfest_part_2_210	यी कुरा अनुभव अवस्था घटनामा प्रतिबिम्बित हुन्छन्
ku_hackfest_part_2_211	युगका पनि
ku_hackfest_part_2_212	ध्रुवसत्य
ku_hackfest_part_2_213	हामीले निष्ठापूर्वक गरेको हरेक कात्न अर्चनाको उत्तर आउँछ
ku_hackfest_part_2_214	यो पनि सासू सिद्धान्त
ku_hackfest_part_2_215	किनकी
ku_hackfest_part_2_216	निष्ठापूर्वक गरिएको प्रार्थनामा तपाईंको अवश्य तनमनले
ku_hackfest_part_2_217	मुख्य भूमिका निर्वाह गरिरहेको हुन्छ
ku_hackfest_part_2_218	भन्नुको अर्थ तपाईंको अवचेतन मनले
ku_hackfest_part_2_219	सकारात्मक परिणामका लागि
ku_hackfest_part_2_220	काम गरिरहेको हुन्छ
ku_hackfest_part_2_221	उदाहरणको लागि विद्युतीय माथिल्लो देखि तल्लो तहसम्म काम गर्ने सिद्धान्त लिन सकिन्छ
ku_hackfest_part_2_222	अहिले चीन बाल हुन्छ
ku_hackfest_part_2_224	घरमा खान पकाउनुहुन्छ
ku_hackfest_part_2_225	जे गरेपनि यि सिद्धान्तले काम गरिरहेको हुन्छ
ku_hackfest_part_2_226	तपाईंले चहेर पनि बिजुलीको सिद्धान्त बदल्न सक्नु हुन्न
ku_hackfest_part_2_227	एकैपटक धेरै उपक्रम प्रयोग गरेर
ku_hackfest_part_2_228	बरु यो सिद्धान्तबाट
ku_hackfest_part_2_229	फाइदा लिन सक्नुहुन्छ
ku_hackfest_part_2_230	प्रकृतिका नियम सङग हातेमालो गरेर तपाईं आश्चारय जनक खोज्या
ku_hackfest_part_2_231	नयाँ आविष्कार गर्नुहुन्छ
ku_hackfest_part_2_233	मानवजातिलाई
ku_hackfest_part_2_234	अनन्त सुख प्रदान गर्छ
ku_hackfest_part_2_235	लक्ष्य प्राप्तिमा तपाईंको अबचेतन मन को सिद्धान्त नै प्रमुख हो
ku_hackfest_part_2_236	यसले पनि विश्वासको नियम अनुसार नि काम गर्छ तर त्यो विश्वास के हो
ku_hackfest_part_2_237	यसले कसरी काम गर्छ
ku_hackfest_part_2_238	भने तपाईले
ku_hackfest_part_2_239	जान्नु आबश्यक
ku_hackfest_part_2_240	मनको नियम भनेको विश्वासको नियम
ku_hackfest_part_2_241	भन्नाले
ku_hackfest_part_2_242	मनले काम कसरी गर्छ
ku_hackfest_part_2_243	त्यसमा विश्वास गर्नु
ku_hackfest_part_2_244	विश्वास स्वयम विश्वास गर्नु
ku_hackfest_part_2_245	उनको विश्वास निमंत्रण विचार
ku_hackfest_part_2_246	कुरो सोझो र स्पष्ट छ
ku_hackfest_part_2_247	अरु केही छैन
ku_hackfest_part_2_248	तपाईंको अवचेतन मनले तपाईंका विचारहरूमाथी प्रतिक्रिया व्यक्त गर्छ
ku_hackfest_part_2_249	त्यसै अनुरुप
ku_hackfest_part_2_250	अनुभव
ku_hackfest_part_2_251	घटना परिस्थितिहरु उत्पन्न गराउँछ
ku_hackfest_part_2_252	याद राख्नुहोस्
ku_hackfest_part_2_253	रिसले तपाईंलाई सफलताको कारण दिँदैन
ku_hackfest_part_2_254	सफलता तमङ अविश्वासको कारण प्राप्त हुन्छ
ku_hackfest_part_2_255	मानवजातिलाई पछाडि धकेल्ने
ku_hackfest_part_2_256	गलत धारणाको बिचार अन्धविश्वास
ku_hackfest_part_2_258	आदिलाई
ku_hackfest_part_2_259	स्विकार गर्न बन्द गर्नुहोस्
ku_hackfest_part_2_260	आँसु सत्य र कहिले नबदलिने प्रकृतिको नियम माथि
ku_hackfest_part_2_261	विश्वास गर्न थाल्नुस्
ku_hackfest_part_2_262	तपाईं हृदय देखी नै त्यो मोडमा पुग्न सक्नुभयो भने
ku_hackfest_part_2_264	अहिलेभन्दा
ku_hackfest_part_2_265	निक्कै माथि पुग्नुहुनेछ
ku_hackfest_part_2_266	आत्मिक शान्ति प्राप्त गरेर देवलोक तर्फी बन्नुहुनेछ
ku_hackfest_part_2_268	वैज्ञानिक
ku_hackfest_part_2_269	प्रभावकारी ढङ्गमा पालना गर्छ आफ्नो रहनुको लक्ष्य तर्फ
ku_hackfest_part_2_270	निदृष्ट हुनसक्छ उसले अपेक्षा गरेभन्दा
ku_hackfest_part_2_271	चाँडै सफलता प्राप्त गर्छ
ku_hackfest_part_2_272	रिहा भएपछि प्रतिक्रिया उत्पन्न हुन्छ भन्ने नियमको बारेमा पनि
ku_hackfest_part_2_273	तपाईंलाई पक्कै थाहा हुनुपर्छ
ku_hackfest_part_2_274	जस्तो टेबुलमा तपाईले जोड्ने हिर्काउनु भएपनि
ku_hackfest_part_2_275	धन्न गरेको आवाज आउँछ
ku_hackfest_part_2_276	त्यसै गरी तपाईंको प्रार्थना पनि कृया हो
ku_hackfest_part_2_277	त्यसको प्रतिक्रियाको दैवीय सिद्धान्तअनुसार
ku_hackfest_part_2_278	उत्तरी छुनेछ
ku_hackfest_part_2_280	प्रतिक्रिया तपाईंको अवचेतन मनको प्रतिक्रिया
ku_hackfest_part_2_281	यसले तपाईंको धारणाको प्रकृतिसँग
ku_hackfest_part_2_282	तालमेल मिलाउँछ
ku_hackfest_part_2_283	त्यसैले आफ्नो मनलाई सौहार्द सुस्वास्थ्य शान्ति
ku_hackfest_part_2_284	असल चाहनाले परिपूर्ण पार्नुहोस् र जिबनमा
ku_hackfest_part_2_285	आश्चारय हुनेछ
ku_hackfest_part_2_287	मानिसको दिमागको एउटै हुन्छ
ku_hackfest_part_2_288	तर यसमा दुइ वटा स्पष्त भाग हुन्छ
ku_hackfest_part_2_289	यि आपसमा जोडिएक पनि हुँदैनन्
ku_hackfest_part_2_290	उनले काम गर्ने शैली
ku_hackfest_part_2_291	विशिष्ट गुँड र शक्ति पनि अलग-अलग
ku_hackfest_part_2_292	दिमागका दुइ पाटाले गर्ने कार्यविभाजनको बारेमा
ku_hackfest_part_2_293	मस्तिष्कका सबैखाले विद्यार्थी जानकार छन्
ku_hackfest_part_2_294	मस्तिष्क चाहिँ विभागले गर्ने कामको भेद छुट्याउन
ku_hackfest_part_2_295	विभिन्न नाम दिने गरिएको छ
ku_hackfest_part_2_296	जस्तै वस्तुनिष्ठ
ku_hackfest_part_2_298	चेतन
ku_hackfest_part_2_299	अवचेतन मन
ku_hackfest_part_2_300	जाग्रत
ku_hackfest_part_2_301	र सुषुप्त मन सतही
ku_hackfest_part_2_305	पुरुष मन
ku_hackfest_part_2_306	स्त्री मन र आदी 
ku_hackfest_part_2_307	नाम जेसुकै दिए पनि
ku_hackfest_part_2_309	यसको सत्ता तपाईंलाई अरूको कुनै शब्द उपयुक्त लाग्छ भने
ku_hackfest_part_2_310	त्यस अनुसार पनि बुझ्न सक्नुहुन्छ
ku_hackfest_part_2_311	यद्यपि तपाईंले मस्तिष्कको दुइ वटा स्वरुप
ku_hackfest_part_2_312	र यसको कार्यशैली अलग हुन्छ भन्ने कुरा सही
ku_hackfest_part_2_313	स्विकार गर्नुपर्दछ
ku_hackfest_part_2_314	चेतन
ku_hackfest_part_2_315	र अवचेतन मन
ku_hackfest_part_2_316	मानौं
ku_hackfest_part_2_317	तपाईंको मन एउटा बगैंचा
ku_hackfest_part_2_318	तपाईं आफू चाही माली हुनुहुन्छ
ku_hackfest_part_2_319	हरेक दिन तपाईं आफ्नो अवचेतन मनको बगैचामा
ku_hackfest_part_2_320	एउटा नयाँ
ku_hackfest_part_2_321	बीउ रोप्न हुन्छ
ku_hackfest_part_2_322	भविष्यमा अाफुले रोपेको बिउ समयमै होस्
ku_hackfest_part_2_323	प्रतिक्षित फल दिवस मनेर
ku_hackfest_part_2_324	हामी जसरी बेलाबेलामा पानी मल आदी लगाउने गर्दछ
ku_hackfest_part_2_325	समय समयमा गोदमेल गर्दछौं
ku_hackfest_part_2_328	हामी मनमा रोपेको लक्ष्यको बिरुवा पनि त्यस्तै हो
ku_hackfest_part_2_329	यसलाई पनि बेलाबेलामा पानी
ku_hackfest_part_2_330	मलको आवश्यकता भइरहको छ
ku_hackfest_part_2_331	कल्पना गर्नुहोस् तपाईंको अबचेतन मन उब्जाउ माटो हो
ku_hackfest_part_2_332	त्यो माटोले सबैखाले बिउलाई उम्रन मद्दत गर्छ
ku_hackfest_part_2_333	चाहे त्यो बिउ असल होस या कम्सल 
ku_hackfest_part_2_335	हर विचार एउटा कारण हो
ku_hackfest_part_2_336	हर परिस्थिति एउटा
ku_hackfest_part_2_337	परिणाम हो
ku_hackfest_part_2_338	त्यसै कारण विचारमाथि नियन्त्रण गर्न
ku_hackfest_part_2_339	अनिवार्य छ
ku_hackfest_part_2_340	यसैबाट इच्या अनुरुप्को परिस्थिति निर्माण हुन्छ
ku_hackfest_part_2_341	अब तपाईको
ku_hackfest_part_2_342	सुखशान्ति समृद्धि उन्नति
ku_hackfest_part_2_343	हार्दिकतलाई आफ्नो मनमा
ku_hackfest_part_2_344	गोदमेल गर्न थाल्नुहोस
ku_hackfest_part_2_345	चङ्गा मनले विश्वासका साथ
ku_hackfest_part_2_346	यी कुरालाई मनमा ग्रहण गर्नुहोस्
ku_hackfest_part_2_347	आफ्नो छेतन अर्थात तार्किक मनमा पूर्णरुपले स्वीकार गर्नुहोस्
ku_hackfest_part_2_348	आफ्नो मनरुपी बगैचामा यि असल गुणका बिउलाई 
ku_hackfest_part_2_349	निरन्तर हुर्काउने प्रयास गर्नु
ku_hackfest_part_2_350	आफ्नो मनका अद्भुत विचारका बिउहरुलाई
ku_hackfest_part_2_351	मस्तिष्कको बगैचामा रोप्दै जानुस
ku_hackfest_part_2_352	तपाईंलाई अपेक्षित बाली प्राप्त हुनेछ
ku_hackfest_part_2_353	त्यसै कारण हामीले आफ्नो विचार
ku_hackfest_part_2_354	परिणम तर्फ मात्र
ku_hackfest_part_2_355	केन्द्रित गर्नुपर्छ
ku_hackfest_part_2_356	जब तपाईंको दिमागले सही ढङगमा  सोच्न थाल्छ
ku_hackfest_part_2_357	जब तपाईंले सत्य बुझ्नुहुन्छ
ku_hackfest_part_2_358	जब तपाईंमा सिर्जनात्मक
ku_hackfest_part_2_359	हार्दिक र शान्त विशाल ले प्रवेश पाउँछन्
ku_hackfest_part_2_360	अनिमात्र तपाईंको अबचेतन मनले
ku_hackfest_part_2_361	जादुमयी ढंगले काम गर्न थाल्छ
ku_hackfest_part_2_362	स्वही अनुरुप सिर्जनात्मक
ku_hackfest_part_2_363	हार्दिक र उत्कृष्ट हुन थाल्छ
ku_hackfest_part_2_364	तपाईंले आफ्नो विचार र नियन्त्रण गर्न थाल्नुभयोभने
ku_hackfest_part_2_365	जुनसुकै समस्याहरूमा आफ्नो बचत उनको असीमित शक्तिलाई केन्द्रित गर्न सक्नुहुनेछ बास्तबमा तपाईले जानीबुझी कन
ku_hackfest_part_2_367	यो कुरा प्रकृतिका सबै क्षेत्रमा लागू हुन्छ
ku_hackfest_part_2_368	तपाईं आफ्नो वरपरको बातबारणलाई
ku_hackfest_part_2_369	यसो निहल्नोस
ku_hackfest_part_2_370	चेतन मन अवचेतन मनको अन्तरक्रियाको ज्ञानले
ku_hackfest_part_2_371	तपाईंको जीवनलाई पुरै रुपान्तरण गरिदिन्छ
ku_hackfest_part_2_372	बह्य अवस्थालाई परिवर्तित गर्न तपाईं परिवर्तित हुनुपर्छ
ku_hackfest_part_2_374	दुविधा अभाव
ku_hackfest_part_2_375	चिनी तथा त्याग्न तपाईंले
ku_hackfest_part_2_376	तीनका कारणलाई त्याग्नु पर्ने छ
ku_hackfest_part_2_377	यसको लागि तपाईंले आफ्नो चेतन मनलाई प्रयोग गर्नुपर्छ
ku_hackfest_part_2_378	भावना बिचार र सपनाको जनक पाइने हो
ku_hackfest_part_2_379	आन्तरिक मनमा असीमित रचनात्मक शक्ति हुन्छ
ku_hackfest_part_2_380	दैनिक व्यवहारमा जति पनि कुरा परिस्थितिहरु आइ लाग्छन्
ku_hackfest_part_2_381	सबैभन्दा पहिले ति परिस्थिति
ku_hackfest_part_2_382	तपाईंको मनमा उत्पन्न भएका हुन्छन्
ku_hackfest_part_2_383	त्यो कुरा
ku_hackfest_part_2_384	तपाईंको चेतन रुपमा होस्
ku_hackfest_part_2_385	या
ku_hackfest_part_2_386	अचेतन रुपमा
ku_hackfest_part_2_387	तपाईंले आफ्नो चेतन र अबचेतन मनको कार्यविधिको बारेमा
ku_hackfest_part_2_388	साँचो कुरा थाहा पाउनुभयो भने
ku_hackfest_part_2_389	आफ्नो जीवन कायपलट गर्न सफल हुनुहुनेछ
ku_hackfest_part_2_390	तपाईको बाहिरी परिस्थितिलाई बदल्न चाहनु हुन्छ भने
ku_hackfest_part_2_391	तपाईंले त्यसको कारण बदल्नुपर्ने हुन्छ
ku_hackfest_part_2_392	त्यो परिस्थितिले किन उत्पन्न भयो भनेर
ku_hackfest_part_2_393	त्यसको कारण थाहा पाउनुपर्छ
ku_hackfest_part_2_394	अधिकांश मानिस भने
ku_hackfest_part_2_395	आफुमाथी आइपर्ने परिस्थिति बदल्न संघर्ष गर्छन
ku_hackfest_part_2_396	यसो गर्नु भनेको समय
ku_hackfest_part_2_397	र मेहनतको बर्बादी मात्र
ku_hackfest_part_2_398	तपाईको जीवनमा आईपर्ने अभाव मानसिक अशान्ति मनमुटाव
ku_hackfest_part_2_399	रोगव्याधी हटाउनु छ भने
ku_hackfest_part_2_400	सबभन्दा पहिला त्यस्को कारण पहिल्याउनुपर्ने हुन्छ
ku_hackfest_part_2_401	चेतन मनको प्रयोग गरेर कारण पहिलो आउनुभयो भने
ku_hackfest_part_2_402	परीणाम
ku_hackfest_part_2_403	आफैँ बदलिन्छ
ku_hackfest_part_2_404	हामी सबै असिमित धनसम्पत्ति भएको अथाह समुन्द्रमा बाँचिरहेका छन्
ku_hackfest_part_2_405	अवचेतन मन तपाईंको चेतन बिचार प्रति
ku_hackfest_part_2_406	असाध्यै संवेदनशील हुन्छ
ku_hackfest_part_2_407	यो चेतन बिचार एउटा साँचो जस्तै हो
ku_hackfest_part_2_408	जसले ताला खोल्ने काम गरे जसरी काम गर्छ
ku_hackfest_part_2_409	यसमा तपाईंको अबचेतन बुद्धि
ku_hackfest_part_2_410	जीवन शक्ति र उर्जा प्रवाहित भएको हुन्छ
ku_hackfest_part_2_411	अहिले आफ्नो साँचो अर्थात् क्षेत्राधिकारलाई
ku_hackfest_part_2_413	असीमित उर्जाबाट सोचे जस्तो नतिजा
ku_hackfest_part_2_414	निकाल्न सकिन्छ
ku_hackfest_part_2_415	यस पुस्तका हरेक अध्यायमा
ku_hackfest_part_2_416	अवचेतन मनको नियम कसरी अभ्यास गर्न सकिन्छ भन्ने बारेमा प्रशस्त उदाहरण दिएको छ
ku_hackfest_part_2_417	तपाईंको बिचार ले त्यस्तो म्यतृक्स बनाउछ
ku_hackfest_part_2_418	जसले अवचेतन मन मार्फत अनन्त ज्ञान
ku_hackfest_part_2_419	बौद्धिकता र ऊर्जा प्रदान गर्छ
ku_hackfest_part_2_420	यस पुस्तकमा प्रस्तुत गरिएको मकैको को व्यवहारिक नेमले तपाईलाई धेरै कुराको अनुभव गराउने छ
ku_hackfest_part_2_421	गरिबीको साट्टो सम्पन्नता
ku_hackfest_part_2_422	अज्ञानताको साट्टो ज्ञान दुःखको साट्टो शान्ति
ku_hackfest_part_2_424	अन्धकार को साट्टो प्रकाश
ku_hackfest_part_2_425	डरको साट्टो आत्मबिश्वस
ku_hackfest_part_2_427	चेतन मन र अवचेतन मनको कार्यशैली
ku_hackfest_part_2_428	गम्भीररुपमा
ku_hackfest_part_2_429	मनन गरेका हुन्छन्
ku_hackfest_part_2_431	रंगमंच इधरले सताए
ku_hackfest_part_2_432	भित्रभित्रै आतिएर उनलाई
ku_hackfest_part_2_433	घाँटी पक्षघात भएजस्तो लाग्यो
ku_hackfest_part_2_434	अनुहारहरू चिट चिट पसिना बग्न थाल्यो
ku_hackfest_part_2_435	केहि क्षणमा नै उनलाई स्तेजमा जानु पर्ने थियो 
ku_hackfest_part_2_436	तर उनि
ku_hackfest_part_2_437	डरले
ku_hackfest_part_2_438	लुगलुग काप्न थाले
ku_hackfest_part_2_439	उनलाई लागेछ
ku_hackfest_part_2_440	अब म गाउन सक्दिन
ku_hackfest_part_2_441	सबैजना मलाई गिज्याउने छन
ku_hackfest_part_2_442	त्यहीबेला रङग मञ्च पछाडि बसिरहेको
ku_hackfest_part_2_443	उनले कराउन थाले छन मभित्रको लघुताभासले
ku_hackfest_part_2_444	मेरो उच्चता सँग संघर्ष गरिरहेछ
ku_hackfest_part_2_445	उनले आफूसँग भनेछन्
ku_hackfest_part_2_446	मभित्रको लघुताभास
ku_hackfest_part_2_447	मेरो मन भित्रबाट भागि हाल
ku_hackfest_part_2_448	मेरो उच्चता र यहाँ
ku_hackfest_part_2_449	गाउनु छ
ku_hackfest_part_2_450	उनले भनेको उच्चता को अर्थ
ku_hackfest_part_2_451	अवचेतन मनको सीमाहीन अवशक्ती
ku_hackfest_part_2_452	हो 
ku_hackfest_part_2_453	त्यस उनी कराउन थाले म भित्रको उचताले यहाँ अहिले दशक अगाडि गीत गाउनुपर्छ
ku_hackfest_part_2_455	भाघि हाल
ku_hackfest_part_2_456	भाघि हाल 
ku_hackfest_part_2_457	यसो भनेर उनले आफ्नो अवचेतन मनलाई
ku_hackfest_part_2_458	दरो बनाए
ku_hackfest_part_2_459	आफूभित्रको प्रमुख शक्तिलाई प्रवाहित गरे
ku_hackfest_part_2_460	जब उनी स्टेजमा पुगेर गाउन थाले
ku_hackfest_part_2_461	सार दर्शक
ku_hackfest_part_2_462	उनको कलाकारितामा
ku_hackfest_part_2_463	तनमह भए 
ku_hackfest_part_2_464	उनले बेजोड प्रस्तुति
ku_hackfest_part_2_465	अब तपाईलाई स्पष्ट भयो होला
ku_hackfest_part_2_466	तारुसोले दिमागको 2 चरित्रलाई
ku_hackfest_part_2_467	राम्रोसँग बुझेका रहेचन 
ku_hackfest_part_2_468	चेतन र जागृत
ku_hackfest_part_2_469	अनि
ku_hackfest_part_2_470	अवचेतन र शब्द
ku_hackfest_part_2_474	जब तपाईंको मन
ku_hackfest_part_2_475	दर चिन्ता र सन्तापले व्याप्त हुन्छ
ku_hackfest_part_2_476	त्यो बेला तपाईका अवचेतन मनलाई
ku_hackfest_part_2_477	नकारात्मक भावनाले घेरेको हुन्छ
ku_hackfest_part_2_478	यस्तो बेला तपाईंले पनि  उनी जस्तै
ku_hackfest_part_2_479	दरो आत्मविश्वास सहित मनको भाबना बिपरित balam बन्न सक्नुपर्छ
ku_hackfest_part_2_480	त्यसतो बेला तपाईंले मनमनई आफ्नो मनलाई शान्त रहन आग्रह गर्नुपर्छ
ku_hackfest_part_2_481	आफ्नो मनलाई
ku_hackfest_part_2_483	तहिले मैले भनेको मान्नु पर्छ
ku_hackfest_part_2_484	त्यसतै भित्तमा
ku_hackfest_part_2_485	मलाई दुख दिन पाउँदैनस् भनेर
ku_hackfest_part_2_486	मनलाई
ku_hackfest_part_2_487	स्थिर रख्नुपर्छ
ku_hackfest_part_2_488	जब तपाईले अभिव्यक्ति ढंगले बडा लिएर हिँडिरहने आफ्नो मनलाई अधिकारपूर्वका आदेस दिनुहुन्छ
ku_hackfest_part_2_489	यतिखेर तपाईं
ku_hackfest_part_2_490	चकित हुनेछ
ku_hackfest_part_2_491	तपाईंको मस्तिष्कमा सौहार्दता
ku_hackfest_part_2_492	र शान्ति छाउने छ
ku_hackfest_part_2_493	अवचेतन मस्तिष्कको चेतन मस्तिष्कको आज्ञाकारी हुन्छ
ku_hackfest_part_2_494	त्यसैले यसलाई
ku_hackfest_part_2_495	सवकनकियस  अथवा
ku_hackfest_part_2_496	सब ेक िव  भनिएको हो
ku_hackfest_part_2_498	दुई मस्तिष्कका भिन्नता र काम गर्ने शैली क्षेत्र मस्तिष्क पानीजहाजको क्याप्टेन जस्तै
ku_hackfest_part_2_499	उसले जहाजलाई
ku_hackfest_part_2_500	निर्देशित गर्छ
ku_hackfest_part_2_501	उसले इन्जिन कक्षामा कामदारहरुलाई
ku_hackfest_part_2_502	आदेश दिन्छ
ku_hackfest_part_2_503	तिनीहरूले उसको आदेशअनुसार जहाजको इन्जिन हरुलाई
ku_hackfest_part_2_504	नियन्त्रित गर्छ ईन्जिन कक्षमा भएका मानिसहरुले
ku_hackfest_part_2_505	आफुले गरेको कामको बारेमा
ku_hackfest_part_2_506	जान्दैन
ku_hackfest_part_2_507	सिन्धुली केवल आदेश मात्र पालना गर्दछन् ईन्जिन कक्ष मानिसले दिएको संकेत अनुसार काम नगरे
